type,id,name,cp,year_10143,year_09019,year_10148_BISM,year_10148_DA,year_10148_ESD,year_10148_ID,year_10148_NC,year_09119_BISM,year_09119_IDA,year_09119_NC,year_09119_ESDA,year_09119_AIDA,year_09119_MA,year_09119_ORA,year_09119_SA,year_09119_CPA
stm,91318,Japan: International Studies stream,,,,,,,,,,,,,,,,,
stm,91320,Latino USA: International Studies stream,,,,,,,,,,,,,,,,,
stm,91321,Canada (Quebec): International Studies stream,,,,,,,,,,,,,,,,,
stm,91322,Spain: International Studies stream,,,,,,,,,,,,,,,,,
stm,91323,Switzerland (French): International Studies stream,,,,,,,,,,,,,,,,,
stm,91324,Switzerland (German): International Studies stream,,,,,,,,,,,,,,,,,
stm,91325,Switzerland (Italian): International Studies stream,,,,,,,,,,,,,,,,,
xbk,01012-1,,6,,,,,,,,,,,,,,,,
xbk,01026-1,,12,,,,,,,,,,,,,,,,
xbk,01032-1,,18,,,,,,,,,,,,,,,,
xbk,01157-1,,6,,,,,,,,,,,,,,,,
xbk,01157-2,,6,,,,,,,,,,,,,,,,
xbk,01158-1,,6,,,,,,,,,,,,,,,,
xbk,02057-1,,12,,,,,,,,,,,,,,,,
xbk,02064-1,,24,,,,,,,,,,,,,,,,
xbk,02065-1,,12,,,,,,,,,,,,,,,,
xbk,02066-1,,18,,,,,,,,,,,,,,,,
xbk,02080-1,,6,,,,,,,,,,,,,,,,
xbk,02081-1,,6,,,,,,,,,,,,,,,,
xbk,02081-2,,6,,,,,,,,,,,,,,,,
xbk,02092-1,,12,,,,,,,,,,,,,,,,
xbk,03036-1,,12,,,,,,,,,,,,,,,,
xbk,03037-1,,12,,,,,,,,,,,,,,,,
xbk,03444-1,,12,,,,,,,,,,,,,,,,
xbk,03519-1,,24,,,,,,,,,,,,,,,,
xbk,08197-1,,12,,,,,,,,,,,,,,,,
xbk,08157-1,,12,,,,,,,,,,,,,,,,
xbk,08188-1,,12,,,,,,,,,,,,,,,,
xbk,08196-1,,6,,,,,,,,,,,,,,,,
xbk,08438-1,,12,,,,,,,,,,,,,,,,
xbk,08440-1,,18,,,,,,,,,,,,,,,,
xbk,08441-1,,18,,,,,,,,,,,,,,,,
xbk,08442—1,,12,,,,,,,,,,,,,,,,
xbk,08981-1,,6,,,,,,,,,,,,,,,,
xbk,09034-1,,24,,,,,,,,,,,,,,,,
xbk,09035-1,,24,,,,,,,,,,,,,,,,
xbk,09036-1,,24,,,,,,,,,,,,,,,,
xbk,09040-1,,6,,,,,,,,,,,,,,,,
xbk,09209-1,,18,,,,,,,,,,,,,,,,
xbk,09443-1,,6,,,,,,,,,,,,,,,,
xbk,10051-1,,12,,,,,,,,,,,,,,,,
xbk,10053-1,,24,,,,,,,,,,,,,,,,
xbk,90839-1,,6,,,,,,,,,,,,,,,,
xbk,91314-1,,8,,,,,,,,,,,,,,,,
xbk,91315-1,,8,,,,,,,,,,,,,,,,
xbk,91316-1,,8,,,,,,,,,,,,,,,,
