id,id2
02081,41004
02081,02081-1
02081,02081-2
02081-1,31243
02081-2,31075
02081-2,31243
02081-2,31253
02081-2,31256
02081-2,31256
02081-2,42913
02081-2,48024
02092,02092-1
02092,31080
02092,31260
02092,31777
02092,41019
02092,41021
02092-1,31250
02092-1,31262
02092-1,31263
02092-1,31285
02092-1,31748
02092-1,31927
02092-1,41020
02092-1,41889
03036,03036-1
03036,31260
03036,48024
03036-1,31075
03036-1,31100
03036-1,31251
03036-1,31253
03036-1,31927
03036-1,41025
03036-1,41026
03036-1,41889
03036-1,48433
03037,31277
03037,41900
03037,03037-1
03037-1,31274
03037-1,31275
03037-1,31338
03037-1,41890
03037-1,41891
03037-1,41903
03037-1,41905
03037-1,42036
03037-1,42037
03037-1,48033
03037-1,48436
03037-1,48450
03037-1,48730
03444,31251
03444,31260
03444,41025
03444,41026
03444,48024
03444,48433
03444,03444-1
03444-1,31075
03444-1,31100
03444-1,31242
03444-1,31253
03444-1,31285
03444-1,31777
03444-1,31927
03444-1,41001
03444-1,41889
03519,03519-1
03519,31260
03519,41025
03519,41026
03519,48433
03519-1,31075
03519-1,31100
03519-1,31242
03519-1,31253
03519-1,31285
03519-1,31777
03519-1,31927
03519-1,41001
03519-1,41075
03519-1,41889
91158,91202
91158,91203
08197,24108
08197,24202
08197,08197-1
08197-1,24205
08197-1,24220
08197-1,24306
08157,08157-1
08157,22107
08157,22207
08157-1,22016
08157-1,22240
08157-1,22320
08157-1,22321
08157-1,22420
08157-1,22575
08159,21129
08159,21510
08159,21511
08159,21591
08160,21129
08160,21511
08160,21512
08160,21591
08181,22107
08181,25300
08181,25503
08181,25556
08188,08188-1
08188,22107
08188,22566
08188-1,22207
08188-1,22240
08188-1,22567
08188-1,22573
08188-1,22575
08196,25300
08196,08196-1
08196,21227
08196,22107
08196-1,21129
08196-1,24108
08196-1,48080
08198,24108
08198,24202
08198,24210
08198,59330
08437,22319
08437,22320
08437,22321
08437,22420
08437,22421
08437,22522
08437,79014
08437,79017
08438,08438-1
08438,21440
08438,21504
08438,21510
08438,21511
08438,21512
08438,21513
08438-1,21227
08438-1,21228
08438-1,21555
08438-1,21591
08438-1,21595
08438-1,21999
08440,25410
08440,25503
08440,25556
08440,25557
08440,25622
08440,08440-1
08440-1,25421
08440-1,25558
08440-1,25573
08440-1,25574
08440-1,25575
08440-1,25579
08440-1,25602
08440-1,25620
08440-1,25999
08441,08441-1
08441,24100
08441,24202
08441,24210
08441,24309
08441,24415
08441-1,24104
08441-1,24205
